Project_ID,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot
PRJ3-00469,85,5.122,13.608,0.08,0.4813,0.1189,0.2267,0.0498,0.1062,0.0723,0.0315,29.645,0.2769,1.663,0.3799,0.2557,0.4297,5
PRJ3-00470,103,6.831,6.567,0.3926,0.312,0.0651,0.1567,0.0647,0.2592,0.0517,0.0375,31.597,0.2323,7.826,0.497,0.3158,0.5716,5
PRJ3-00471,77,5.518,12.635,0.08,0.494,0.0651,0.2203,0.1045,0.2016,0.0487,0.05,25.655,0.3041,8.12,0.2682,0.2879,0.4283,6
PRJ3-00472,99,6.073,13.45,0.08,0.4433,0.1174,0.0706,0.0337,0.2551,0.0272,0.0434,19.454,0.2284,6.772,0.3152,0.1928,0.3892,5
PRJ3-00473,64,4.325,3.829,0.5937,0.2209,0.0643,0.1078,0.0389,0.2633,0.029,0.0038,17.897,0.2826,7.528,0.3603,0.2209,0.3756,2
PRJ3-00474,32,4.74,9.842,0.237,0.2417,0.0649,0.1597,0.0553,0.0802,0.0312,0.0039,14.238,0.1848,4.279,0.2454,0.2224,0.2846,2
PRJ3-00475,56,5.177,13.856,0.08,0.4858,0.121,0.0038,0.0398,0.07,0.0223,0.0127,32.681,0.3158,7.971,0.0457,0.2257,0.3538,5
PRJ3-00476,61,3.691,7.261,0.426,0.2643,0.1053,0.2337,0.0786,0.1517,0.0195,0.0108,21.798,0.2256,0,0.3226,0.3158,0.2771,2
PRJ3-00477,49,5.095,7.407,0.3479,0.2326,0.0774,0.0827,0.0165,0.0967,0.0348,0.0149,23.204,0.2415,8.814,0.1863,0.176,0.3967,3
PRJ3-00478,87,3.463,11.712,0.08,0.3137,0.1008,0.0612,0.0561,0.0878,0.0035,0.0181,22.359,0.2009,3.331,0.1852,0.1954,0.2446,3
PRJ3-00479,47,4.434,6.413,0.5414,0.2566,0.0484,0.0732,0.0084,0.0471,0.0274,0.0135,20.614,0.1221,3.831,0.3965,0.3365,0.2114,2
PRJ3-00480,89,5.473,8.956,0.2769,0.1456,0.0396,0.1899,0.0283,0.2106,0.0332,0.0203,18.717,0.202,5.936,0.4152,0.2062,0.3967,2
PRJ3-00481,240,5.229,12.592,0.08,0.4178,0.0881,0.1289,0.0401,0.1908,0.0145,0.0121,34.515,0.3808,6.975,0.3751,0.3191,0.4334,5
PRJ3-00482,34,4.969,9.077,0.1171,0.3489,0.1164,0.1399,0.0288,0.1422,0.0672,0,22.131,0.2932,3.011,0.4275,0.3623,0.3647,2
PRJ3-00483,49,3.816,6.537,0.3521,0.2022,0.0655,0.0515,0.0714,0.1959,0.0401,0,18.087,0.2259,2.735,0.2267,0.1391,0.3243,1
PRJ3-00484,40,3.93,7.666,0.3582,0.4272,0.0799,0.0153,0.0211,0.0781,0.0138,0.0008,15.901,0.2325,1.514,0.2483,0.1965,0.4597,2
PRJ3-00485,231,5.564,12.566,0.08,0.3985,0.094,0.2582,0.0682,0.1958,0.0608,0.0481,31.165,0.2819,2.85,0.3706,0.2947,0.5063,6
PRJ3-00486,13,2.852,7.675,0.319,0.2476,0.0785,0.0793,0.0165,0.2521,0.0316,0.0174,28.073,0.3833,0,0.2969,0.1978,0.2688,2
PRJ3-00487,72,4.666,5.563,0.449,0.1755,0.038,0.047,0.0249,0.1539,0.0262,0,11.922,0.1955,0,0.4424,0.1854,0.3385,1
PRJ3-00488,34,4.888,6.407,0.5063,0.2084,0.0463,0,0.0138,0.0463,0.0042,0.0127,15.797,0.2053,5.549,0.3411,0.1824,0.1633,2
PRJ3-00489,14,3.747,8.111,0.3773,0.3241,0.0617,0,0,0.1091,0.0257,0.0156,20.401,0.2955,1.071,0.2443,0.2074,0.2514,2
PRJ3-00490,38,5.946,9.022,0.1047,0.3242,0.0883,0.1153,0.0225,0.2551,0.0372,0.0176,21.851,0.2487,4.524,0.4022,0.2642,0.3615,3
PRJ3-00491,131,4.935,11.797,0.137,0.4986,0.1124,0.1032,0.0465,0.02,0.0214,0.0305,30.426,0.3683,8.562,0.1357,0.3146,0.2975,6
PRJ3-00492,47,5.215,9.546,0.2573,0.315,0.1014,0.1888,0.0407,0.1504,0.0365,0.0119,21.024,0.2357,2.97,0.3623,0.3061,0.2668,3
PRJ3-00493,211,4.92,7.508,0.645,0.3048,0.0853,0.0312,0.0408,0.0501,0.0438,0,16.765,0.2934,4.347,0.4686,0.1858,0.3538,2
PRJ3-00494,49,5.556,11.086,0.08,0.3678,0.0935,0.1363,0.0108,0.1798,0.025,0.0313,25.213,0.2972,8.183,0.3571,0.2795,0.4614,5
PRJ3-00495,80,5.621,12.208,0.08,0.3547,0.0965,0.1605,0.0111,0.2426,0.0638,0.0202,17.931,0.1955,1.782,0.3147,0.1959,0.3876,3
PRJ3-00496,31,4.748,7.982,0.3826,0.2817,0.086,0.0757,0.0301,0.0951,0.0507,0.0109,16.534,0.2317,3.057,0.4614,0.1367,0.3546,2
PRJ3-00497,211,5.676,11.395,0.0854,0.4562,0.099,0.2097,0.0547,0.1464,0.0546,0.0359,26.843,0.3635,4.026,0.3992,0.2161,0.4095,5
PRJ3-00498,127,5.055,11.391,0.1451,0.42,0.093,0.0876,0.0395,0.0968,0.0226,0.0037,29.65,0.465,8.14,0.5514,0.2698,0.4506,4
PRJ3-00499,122,6.273,12.231,0.08,0.4352,0.1091,0.2207,0.0476,0.2388,0.0539,0.0532,36.062,0.4549,4.637,0.4247,0.3342,0.3478,6
PRJ3-00500,33,7.379,8.444,0.2024,0.2797,0.1302,0.0932,0.0481,0.1799,0.0274,0.0061,18.077,0.3011,1.271,0.357,0.1466,0.2855,2
PRJ3-00501,123,5.844,4.924,0.4929,0.2526,0.0617,0.0969,0,0.2728,0.0444,0.02,26.15,0.3495,0,0.2164,0.2462,0.4054,2
PRJ3-00502,74,4.042,8.913,0.3355,0.3028,0.0566,0.0799,0.0161,0.1569,0.0265,0.0007,23.648,0.1897,9.503,0.156,0.2612,0.2366,3
PRJ3-00503,71,5.223,6.406,0.4775,0.2611,0.0696,0,0.0083,0.1366,0.0398,0.0212,27.199,0.2543,4.597,0.2033,0.1815,0.3148,3
PRJ3-00504,56,6.936,8.508,0.3187,0.3785,0.1124,0.2002,0.0582,0.2219,0.0664,0.0258,16.979,0.212,4.826,0.5121,0.1978,0.4356,3
PRJ3-00505,115,5.708,9.692,0.1323,0.2638,0.0455,0.1237,0.0229,0.2356,0.0585,0.0192,14.153,0.2356,5.078,0.2136,0.1894,0.3491,3
PRJ3-00506,97,5.162,7.715,0.286,0.2921,0.0674,0.1449,0.0331,0.1216,0,0,18.032,0.1903,0.055,0.1831,0.2437,0.2358,1
PRJ3-00507,217,5.383,10.043,0.141,0.412,0.1371,0.2014,0.0645,0.1228,0.0933,0.0323,23.872,0.1903,3.589,0.4283,0.2953,0.2873,4
PRJ3-00508,64,4.728,9.683,0.221,0.374,0.1043,0.127,0.0479,0.1234,0.0267,0.0418,19.979,0.2715,6.816,0.2887,0.2522,0.3635,4
PRJ3-00509,95,4.683,10.749,0.08,0.3592,0.0402,0.0806,0.0312,0.0929,0.0196,0.0258,28.144,0.2711,0.362,0.2158,0.2085,0.3911,3
PRJ3-00510,49,5.312,9.136,0.3192,0.2601,0.0539,0.0623,0.054,0.1338,0.013,0.0372,28.615,0.267,10.119,0.2868,0.2187,0.3971,5
PRJ3-00511,79,5.866,6.313,0.3078,0.1924,0.0514,0.1249,0.0065,0.1789,0.05,0.0258,13.85,0.1282,6.442,0.5416,0.1912,0.3547,3
PRJ3-00512,53,4.208,9.367,0.139,0.3486,0.0611,0.1018,0.0083,0.1654,0,0.0218,5,0.1557,1.79,0.2855,0.1123,0.4427,2
PRJ3-00513,44,7.146,5.474,0.334,0.3243,0.0975,0.136,0.0982,0.2753,0.059,0.0331,13.118,0.2485,2.656,0.3669,0.1844,0.367,3
PRJ3-00515,127,4.748,8.814,0.3306,0.368,0.1081,0.0627,0.0432,0.0253,0.0203,0.0125,20.185,0.1629,0,0.1253,0.2117,0.3327,2
PRJ3-00516,52,4.589,7.181,0.3987,0.2965,0.0889,0.0031,0.001,0.1378,0.0221,0.0229,16.15,0.1631,5.561,0.3418,0.0966,0.5148,3
PRJ3-00517,56,5.422,6.653,0.389,0.2312,0.076,0.1804,0.0515,0.0996,0.0713,0.0314,9.019,0.3201,8.596,0.2247,0.1443,0.4345,3
PRJ3-00519,60,5.034,8.277,0.373,0.3185,0.0794,0.1537,0.0537,0.1118,0.0406,0.0246,23.277,0.2779,1.568,0.1243,0.234,0.3043,3
PRJ3-00520,86,5.27,7.842,0.1784,0.3083,0.0926,0.1139,0.0322,0.0417,0.0567,0.0175,19.085,0.2793,4.259,0.3515,0.2031,0.3156,2
PRJ3-00521,152,4.648,12.401,0.08,0.469,0.1098,0,0.0242,0.1479,0.0285,0.0152,47.541,0.5607,4.665,0.1526,0.3853,0.4577,6
PRJ3-00522,68,4.945,6.12,0.4553,0.2895,0.0685,0.1167,0.0326,0.229,0.0049,0.0337,23.834,0.2439,7.083,0.3413,0.2315,0.4092,4
PRJ3-00523,31,5.898,11.995,0.1046,0.4736,0.1174,0.2142,0.0608,0.3568,0.0325,0.0308,24.159,0.3595,4.317,0.2034,0.2444,0.3789,5
PRJ3-00524,75,4.011,9.172,0.3342,0.3649,0.0752,0.1433,0.007,0.118,0.0097,0.0063,25.076,0.3375,0.095,0.2113,0.2353,0.3391,2
PRJ3-00526,38,4.596,5.902,0.4943,0.2395,0.022,0.0804,0.0546,0.2425,0.0198,0.022,16.668,0.2167,1.689,0.1488,0.1009,0.3221,2
PRJ3-00527,40,4.044,4.426,0.453,0.0642,0.0433,0.2012,0.0399,0.1159,0.0717,0.0176,13.131,0.14,6.745,0.3996,0.1329,0.282,2
PRJ3-00528,25,5.257,8.473,0.2207,0.4291,0.102,0.0154,0.0058,0.0892,0.0142,0.0314,21.166,0.2834,0,0.181,0.2115,0.3016,3
PRJ3-00529,113,6.248,6.283,0.394,0.257,0.0794,0.2228,0.0947,0.207,0.0717,0.0359,37.082,0.4811,3.208,0.3744,0.3824,0.4308,4
PRJ3-00530,53,4.167,8.54,0.3149,0.3218,0.0623,0.1216,0.059,0.115,0.0025,0.0079,18.735,0.2833,1.176,0.1531,0.2098,0.1971,2
PRJ3-00531,94,4.006,3.958,0.5565,0.2337,0.061,0.1214,0.0341,0.1841,0,0.0087,7.839,0.1707,0,0.1173,0.0254,0.3863,1
PRJ3-00532,102,4.485,6.67,0.5461,0.2994,0.0801,0.0724,0.0337,0.0935,0.0202,0.0085,19.173,0.2451,0,0.2747,0.213,0.2161,1
PRJ3-00533,12,2.724,7.896,0.4133,0.3396,0.0724,0.093,0.0524,0.0852,0.0187,0.0016,20.503,0.214,0.108,0.1764,0.1872,0.3032,1
PRJ3-00534,101,4.059,14.583,0.08,0.406,0.0512,0.069,0.058,0.1575,0.0409,0.016,9.973,0.1676,2.329,0.3139,0.1962,0.3937,3
PRJ3-00535,23,5.053,9.194,0.2064,0.3146,0.0848,0.1547,0.0644,0.2102,0.042,0.0168,36.33,0.3459,1.282,0.288,0.4059,0.1635,4
PRJ3-00536,10,4.433,10.142,0.143,0.424,0.1025,0.1418,0.056,0.1786,0.0626,0.0409,23.067,0.306,10.108,0.2627,0.2902,0.4618,5
PRJ3-00537,104,5.154,10.606,0.3216,0.3814,0.086,0.1047,0.021,0.1348,0.0507,0.0304,21.686,0.3255,6.559,0.2946,0.2091,0.2851,4
PRJ3-00538,101,4.77,9.888,0.2416,0.3255,0.0435,0.06,0.0334,0.0909,0.011,0.0249,17.538,0.2835,2.503,0.1566,0.2363,0.258,3
PRJ3-00539,110,5.025,9.069,0.3292,0.2555,0.0972,0.061,0.0288,0.1741,0.0403,0.0079,21.557,0.2126,4.323,0.3517,0.2592,0.4118,2
PRJ3-00540,92,5.088,7.772,0.3333,0.3371,0.0719,0.1112,0.0458,0.111,0.0098,0.0327,37.709,0.468,8.414,0.3212,0.3363,0.331,5
PRJ3-00541,240,2.526,7.072,0.325,0.2376,0.0819,0.1528,0.0489,0.3033,0.0243,0.0178,33.594,0.2354,5.693,0.3401,0.3094,0.3899,4
PRJ3-00542,60,5.69,8.837,0.1641,0.3725,0.0949,0.1941,0.0888,0.2806,0.0502,0.0324,30.945,0.3914,7.687,0.3468,0.2882,0.4063,5
PRJ3-00543,45,8.495,12.751,0.08,0.3884,0.0968,0.2728,0.082,0.224,0.0507,0.0513,19.719,0.3864,4.446,0.4168,0.3322,0.4705,5
PRJ3-00544,88,4.18,5.692,0.4217,0.1953,0.0642,0.0606,0.0108,0.0577,0.0376,0.0006,22.202,0.3329,5.474,0.2138,0.2214,0.2035,2
PRJ3-00545,36,5.027,8.01,0.423,0.2625,0.0934,0.1028,0.0675,0.02,0.0007,0.0231,20.734,0.1487,1.322,0.4248,0.1912,0.2568,2
PRJ3-00546,9,7.118,8.89,0.1888,0.3091,0.0653,0.2367,0.0421,0.2554,0.0359,0.0528,22.117,0.3211,3.811,0.079,0.2294,0.3801,4
PRJ3-00547,60,3.359,7.335,0.5577,0.3157,0.0933,0.0381,0.0216,0.104,0.0178,0.0058,31.048,0.3701,7.191,0.0855,0.2303,0.2719,3
PRJ3-00548,149,5.845,8.549,0.249,0.3375,0.0754,0.0647,0.0277,0.2186,0.0407,0.022,27.13,0.3424,3.676,0.1332,0.2115,0.3415,3
PRJ3-00549,26,4.086,10.228,0.1412,0.3358,0.1017,0.0216,0.0277,0.1756,0.0483,0.0094,22.727,0.219,0.077,0.4307,0.2292,0.4463,2
PRJ3-00550,122,5.62,9.159,0.2599,0.32,0.0806,0.1331,0.0392,0.241,0.0555,0.0069,26.194,0.3349,4.016,0.1682,0.283,0.3897,3
PRJ3-00552,38,10.498,9.691,0.1496,0.4484,0.0988,0.0893,0.0454,0.1475,0.0291,0.0319,36.02,0.4942,7.21,0.1633,0.3143,0.3406,5
PRJ3-00553,212,6.055,9.727,0.2433,0.3797,0.0932,0.1198,0.0214,0.1294,0.0562,0.0153,20.231,0.2976,5.43,0.3261,0.2361,0.3588,3
PRJ3-00554,22,3.878,10.505,0.1736,0.4495,0.0909,0.1761,0.0925,0.0912,0.0275,0.0515,15.482,0.1325,4.774,0.2182,0.269,0.6178,5
PRJ3-00555,81,5.801,2,0.5928,0.1327,0.0624,0.1536,0.0734,0.149,0.0638,0.032,23.944,0.2909,5.329,0.32,0.2475,0.2859,3
PRJ3-00556,46,4.659,3.664,0.5914,0.1427,0.0465,0.104,0.0441,0.2428,0.0277,0.0118,18.836,0.3031,4.869,0.3806,0.1625,0.2462,2
PRJ3-00557,240,2.923,12.201,0.08,0.3319,0.0703,0.144,0.0071,0.1984,0.0451,0.0192,35.852,0.2882,5.344,0.3726,0.3579,0.2191,5
PRJ3-00558,4,1.961,13.199,0.1412,0.4658,0.1034,0.0677,0.0581,0.1345,0.0174,0.0232,25.011,0.2672,1.354,0.238,0.2107,0.1489,4
PRJ3-00559,41,7.283,5.9,0.4005,0.1821,0.0728,0.1789,0.0482,0.3001,0.0549,0.0149,26.853,0.2903,3.633,0.3494,0.2538,0.3595,3
PRJ3-00560,17,4.147,10.619,0.1976,0.3192,0.0904,0.1318,0.0187,0.1771,0.0689,0.0474,16.072,0.2744,7.984,0.5557,0.2276,0.3427,5
PRJ3-00561,240,4.79,7.923,0.2318,0.3143,0.0454,0.1296,0.0434,0.2126,0.0608,0.046,9.388,0.1517,2.878,0.1994,0.1774,0.2943,3
PRJ3-00562,5,2.936,5.578,0.3159,0.2661,0.0537,0.1598,0.0957,0.1724,0.018,0,17.219,0.215,1.99,0.0432,0.217,0.4229,1
PRJ3-00563,7,2.815,7.591,0.439,0.3041,0.064,0.1198,0.0299,0.02,0.0372,0.029,20.088,0.231,4.849,0.3738,0.2632,0.3796,3
PRJ3-00564,54,4.056,10.344,0.1821,0.455,0.1178,0.2113,0.0605,0.2156,0.017,0.0309,16.965,0.2346,4.786,0.2024,0.2727,0.3342,4
PRJ3-00565,142,6.538,16.273,0.08,0.5213,0.1142,0.0818,0.065,0.2762,0.0863,0.0498,22.619,0.409,3.877,0.4328,0.2766,0.4138,6
PRJ3-00566,170,4.516,10.637,0.0811,0.3447,0.0907,0.0997,0.0546,0.1004,0.0419,0,29.889,0.2928,2.925,0.3903,0.2564,0.3452,3
PRJ3-00567,133,5.475,6.256,0.4058,0.2285,0.0927,0.212,0.0737,0.2703,0.0627,0.0379,22.855,0.2406,0,0.2007,0.2867,0.393,3
PRJ3-00568,168,5.71,2,0.6058,0.1244,0.0399,0.1353,0.067,0.1172,0.0592,0.0496,26.398,0.3189,6.083,0.348,0.2763,0.5229,4
PRJ3-00569,83,6.567,11.55,0.08,0.4742,0.1081,0.1692,0.0553,0.256,0.0725,0.0503,32.917,0.1978,5.559,0.2705,0.4028,0.464,6
PRJ3-00570,69,4.794,11.239,0.0877,0.4113,0.0905,0.0497,0.0163,0.0434,0.0333,0.0266,35.151,0.3212,4.248,0.3486,0.2875,0.3076,5
PRJ3-00571,65,4.514,5.735,0.4322,0.1999,0.0446,0.1342,0.0591,0.2046,0.0634,0.0385,18.17,0.3396,0,0.4541,0.2397,0.3347,2
PRJ3-00572,31,3.564,10.554,0.08,0.5005,0.093,0.0573,0.021,0.1311,0,0.0068,28.71,0.3958,5.829,0.2294,0.2779,0.4575,4
PRJ3-00573,138,5.232,10.946,0.125,0.3074,0.065,0.097,0.029,0.2291,0.0218,0.0249,28.847,0.2584,4.192,0.4771,0.3431,0.353,4
PRJ3-00574,98,5.771,14.184,0.08,0.4154,0.1184,0.2097,0.0916,0.2584,0.0628,0.023,28.786,0.4067,6.107,0.37,0.2956,0.4141,5
PRJ3-00575,99,4.952,11.507,0.1068,0.3885,0.0743,0.1691,0.0917,0.1377,0.0281,0.0338,18.623,0.2467,0,0.4,0.2388,0.3295,3
PRJ3-00576,12,3.364,6.295,0.3857,0.1695,0.0733,0.1867,0.0656,0.1601,0.0126,0.0281,23.221,0.3699,6.79,0.3095,0.2393,0.3064,3
PRJ3-00577,99,5.321,6.571,0.3133,0.2604,0.0726,0.0775,0.0339,0.2466,0.063,0.0382,34.346,0.2527,8.99,0.3454,0.3266,0.3279,5
PRJ3-00578,41,5.516,6.937,0.438,0.2206,0.0687,0.1274,0.037,0.1712,0.0473,0.0261,18.828,0.2911,5.591,0.3534,0.2239,0.3631,3
PRJ3-00579,47,5.007,7.867,0.408,0.3071,0.0915,0.1919,0.048,0.1355,0.0576,0.0129,22.562,0.3035,7.345,0.4023,0.2873,0.335,3
PRJ3-00580,240,4.887,11.412,0.1282,0.3928,0.1102,0.0744,0.0504,0.3071,0.0514,0.0468,28.098,0.3257,3.968,0.419,0.2149,0.4952,5
PRJ3-00581,169,5.442,11.813,0.1602,0.3848,0.1129,0.0422,0.0099,0.2128,0.0535,0.0124,14.973,0.1899,1.686,0.2453,0.1925,0.228,3
PRJ3-00582,113,5.63,6.404,0.3403,0.3441,0.0965,0.1158,0.0539,0.1694,0.026,0.0076,21.059,0.2196,1.645,0.31,0.2284,0.3935,2
PRJ3-00583,75,4.551,10.829,0.2345,0.4272,0.108,0.1124,0.0597,0.1187,0.0337,0.0209,8.47,0.1944,3.796,0.3273,0.1898,0.4632,3
PRJ3-00584,34,4.941,9.817,0.2152,0.3634,0.1349,0.1909,0.0863,0.2259,0.0528,0.035,25.423,0.3551,5.422,0.2288,0.281,0.3645,4
PRJ3-00585,27,4.489,5.219,0.5104,0.165,0.0358,0.0422,0.0463,0.1882,0.0812,0.0204,14.138,0.1517,3.074,0.3614,0.2312,0.2401,2
PRJ3-00586,72,5.473,7.87,0.2826,0.2614,0.073,0.1062,0.0296,0.1364,0.0544,0.0185,15.24,0.1918,2.768,0.3311,0.1576,0.4282,2
PRJ3-00587,117,4.393,4.1,0.4712,0.0489,0,0.1334,0.0363,0.1615,0.0084,0.0164,14.852,0.179,0,0.2006,0.1915,0.3191,1
PRJ3-00588,43,6.896,9.961,0.2001,0.3043,0.045,0.0591,0.0485,0.174,0.0324,0.0172,22.338,0.2311,2.953,0.3159,0.1367,0.3445,3
PRJ3-00589,29,4.488,4.025,0.5584,0.1686,0.058,0,0.0377,0.0378,0,0.0033,16.077,0.2004,5.825,0.3354,0.1515,0.3809,2
PRJ3-00590,60,4.931,5.61,0.3338,0.1857,0.0431,0.1195,0.0261,0.0507,0.0181,0.0039,17.889,0.2495,2.425,0.3074,0.2167,0.3639,1
PRJ3-00591,203,5.327,12.626,0.1029,0.5826,0.1253,0.0628,0.0223,0.1184,0.0152,0.0328,22.711,0.1589,7.483,0.0981,0.2746,0.3588,5
PRJ3-00592,19,4.133,14.099,0.08,0.6073,0.1276,0.1112,0.0339,0.0422,0,0.0345,19.026,0.1125,8.09,0.3245,0.1194,0.2462,5
PRJ3-00593,240,4.377,6.625,0.308,0.2087,0.0587,0.1422,0.0721,0.1607,0.0578,0.0421,8.421,0.1028,2.86,0.3315,0.1691,0.2655,3
PRJ3-00594,179,5.388,5.629,0.3955,0.2554,0.0839,0.1472,0.0589,0.2145,0.0363,0.026,9.946,0.1569,0.871,0.3375,0.1627,0.3543,2
PRJ3-00595,35,4.004,7.469,0.4216,0.2742,0.067,0.2432,0.0443,0.2089,0.0149,0.0305,15.339,0.208,6.646,0.3771,0.2426,0.3376,3
PRJ3-00596,49,6.851,8.994,0.2271,0.3152,0.0845,0.1127,0.0349,0.123,0.0404,0.0316,23.677,0.1737,4.775,0.519,0.1954,0.3454,4
PRJ3-00597,56,5.003,6.841,0.4414,0.3041,0.0528,0.0223,0.0262,0.0923,0.0236,0.0234,22.307,0.2738,1.731,0.1765,0.2403,0.3034,2
PRJ3-00598,29,4.953,9.122,0.2654,0.3079,0.0767,0.1111,0.0335,0.1452,0.0051,0.0047,29.317,0.3642,5.541,0.2287,0.2917,0.2619,3
PRJ3-00599,61,3.352,5.47,0.3732,0.203,0.0854,0.1584,0.0594,0.1766,0.0187,0.0138,9.392,0.1884,0,0.0643,0.1839,0.2516,1
PRJ3-00600,139,4.865,7.489,0.4141,0.1538,0.0185,0,0.0276,0.1227,0.0094,0.0437,16.525,0.2197,3.84,0.2633,0.1399,0.291,3
PRJ3-00601,17,4.024,9.522,0.3676,0.221,0.0519,0.1285,0.0296,0.1952,0.0172,0.0169,16.088,0.3504,2.343,0.1908,0.1934,0.288,2
PRJ3-00602,63,4.589,8.362,0.1541,0.4282,0.1003,0.0736,0.0558,0.0988,0.0451,0.0322,27.375,0.3506,4.244,0.1818,0.2219,0.4593,4
PRJ3-00603,44,8.431,4.795,0.432,0.1881,0.0982,0.1741,0.0543,0.1355,0.0516,0.0355,10.214,0.0856,6.614,0.0977,0.1923,0.4752,3
PRJ3-00604,122,6.625,12.909,0.08,0.42,0.1096,0.1355,0.0547,0.27,0.0308,0.0533,43.491,0.4983,10.194,0.3849,0.3198,0.428,8
PRJ3-00605,94,4.295,9.786,0.4072,0.2814,0.1043,0.0201,0.0374,0.1248,0.0439,0.009,17.564,0.2216,5.556,0.3077,0.1048,0.3648,2
PRJ3-00606,87,5.727,6.241,0.4455,0.3281,0.0713,0.17,0.0383,0.1543,0.0342,0.0283,16.238,0.1281,5.774,0.2733,0.1576,0.2856,3
PRJ3-00607,29,8.443,8.253,0.2909,0.2701,0.0651,0.1265,0.0719,0.0897,0.0187,0.0258,17.266,0.198,3.988,0.2777,0.2914,0.3148,3
PRJ3-00608,33,7.283,10.868,0.08,0.3731,0.1145,0.2155,0.0874,0.2416,0.0843,0.019,21.249,0.2547,0.72,0.4912,0.2682,0.493,3
PRJ3-00609,57,4.251,2,0.6204,0.186,0.0436,0.0572,0.047,0.1911,0,0,23.45,0.2554,0,0.2175,0.1677,0.2859,1
PRJ3-00610,37,5.406,6.06,0.514,0.1472,0.0802,0.1562,0.0525,0.2708,0.0498,0.0223,22.585,0.2845,6.806,0.2737,0.2133,0.4433,3
PRJ3-00611,49,5.739,6.669,0.3372,0.2276,0.0471,0.1031,0.0492,0.1398,0.0302,0.0029,13.938,0.125,4.7,0.2975,0.244,0.1847,2
PRJ3-00612,54,4.783,7.811,0.3064,0.322,0.0749,0.1234,0.0345,0.2809,0.0021,0.0054,23.042,0.2834,4.879,0.132,0.2817,0.4647,2
PRJ3-00613,50,3.544,3.935,0.5313,0.083,0.0281,0.0783,0.0016,0.0622,0.0083,0.0048,15.538,0.2067,4.064,0.2053,0.2362,0.3199,1
PRJ3-00614,48,6.811,7.513,0.2834,0.2745,0.066,0.1873,0.1128,0.2657,0.0457,0,26.719,0.3151,3.099,0.2535,0.2298,0.4869,2
PRJ3-00615,145,4.798,9.255,0.1876,0.3782,0.0926,0.0525,0.0433,0.2224,0.0051,0.0073,18.679,0.3979,7.959,0.0939,0.2631,0.2425,3
PRJ3-00616,7,4.364,13.527,0.08,0.3342,0.1029,0.2543,0.0961,0.2194,0.0491,0.0336,26.05,0.3333,2.453,0.2506,0.3541,0.5283,5
PRJ3-00617,76,3.872,8.107,0.3529,0.28,0.0888,0.0703,0.0323,0.1112,0.0213,0.02,19.486,0.2555,2.982,0.3703,0.1842,0.4457,2
PRJ3-00618,4,3.78,6.177,0.4618,0.1252,0.0401,0.1587,0.0462,0.1104,0.0059,0.0001,27.85,0.2591,11.088,0.2067,0.2475,0.3081,3
PRJ3-00619,95,5.027,2.854,0.6048,0.144,0.0708,0.1484,0.0209,0.1555,0.0452,0.0217,16.838,0.2034,4.717,0.3056,0.2053,0.3964,2
PRJ3-00620,143,5.553,8.337,0.2961,0.3427,0.085,0.1716,0.036,0.2507,0.0417,0.0258,25.378,0.2734,1.044,0.3617,0.2762,0.436,3
PRJ3-00621,45,4.129,8.726,0.3079,0.3476,0.0674,0.0496,0,0.02,0.0452,0.0078,16.795,0.2815,4.21,0.3788,0.215,0.3423,2
PRJ3-00622,124,5.366,9.085,0.2928,0.2745,0.0629,0.0861,0.0483,0.0825,0.0823,0.0293,17.698,0.2284,9.932,0.4934,0.1591,0.3902,3
PRJ3-00623,38,5.949,4.723,0.4025,0.2026,0.0802,0.1289,0.0712,0.1275,0.0302,0.0283,24.925,0.3222,4.43,0.2235,0.2554,0.4414,3
PRJ3-00624,92,6.752,5.878,0.4107,0.3083,0.0993,0.1901,0.0792,0.2303,0.0793,0.0205,21.648,0.288,0,0.433,0.1544,0.3583,2
PRJ3-00625,30,3.956,7.845,0.2379,0.2027,0.0699,0.1958,0.081,0.1562,0.0259,0.0048,11.217,0.1698,5.331,0.436,0.2011,0.2673,2
PRJ3-00626,46,5.635,6.755,0.4243,0.2683,0.0811,0.1154,0.0282,0.1703,0.0196,0.0256,22.844,0.293,2.614,0.1594,0.2198,0.3376,3
PRJ3-00627,55,5.15,8.843,0.2731,0.2947,0.1038,0.1017,0.0529,0.2803,0.0516,0.0426,36.222,0.371,1.867,0.343,0.3559,0.2943,5
PRJ3-00628,73,5.725,12.138,0.08,0.3881,0.0773,0.0592,0.0555,0.2477,0.0696,0.0432,32.085,0.3847,6.474,0.4967,0.1357,0.4654,5
PRJ3-00629,18,3.02,7.609,0.4319,0.2667,0.037,0.1203,0.0318,0.2528,0.0255,0.0352,18.049,0.2553,0,0.3321,0.1809,0.2288,2
PRJ3-00630,142,4.923,5.005,0.4039,0.182,0.0889,0.0352,0.0136,0.1519,0.0331,0,23.009,0.2747,5.195,0.2235,0.1399,0.3655,2
